video_id,title,channel,publish_date,category_id,tags,duration,views,likes,comments
98xUkIDUPVg,Being Eddie | Official Trailer | Netflix,Netflix,2025-10-22T13:30:00Z,24,"['BehindTheScenesEddie', 'CinematicJourneys', 'ComedyLegend', 'ComedyMovieTrailer', 'EddieMurphy2023', 'EddieMurphyCareer', 'EddieMurphyComedy', 'EddieMurphyDocumentary', 'EddieMurphyFans', 'EddieMurphyLegacy', 'EddieMurphyNetflix', 'HollywoodBiography', 'HollywoodIcons', 'InfluentialComedians', 'LifeOfEddieMurphy', 'NetflixComedySpecial', 'NetflixOriginals', 'OfficialTrailerReaction', 'StandUpComedyHistory', 'TrailerBreakdown', 'UpcomingNetflixFilms']",PT2M8S,898626,13955,900
oygJNHPBUko,MICKEY plays ROBLOX DRAW ME 2 — EVEN WORSE DRAWINGS?!,Mickey Munch,2025-10-23T19:32:06Z,20,[],PT10M5S,159171,18830,2159
xapibmVTQOU,Feelings Koros (feat. Beejoh & Nineden),Gobby YT - Topic,2025-10-17T19:20:49Z,10,"['Gobby YT', 'Beejoh', 'Nineden', 'Markii', 'Feelings Koros (feat. Beejoh & Nineden)']",PT3M57S,49170,1557,119
6xbnqo48K2c,Escape the Backrooms - Official Release Trailer,Fancy,2025-10-23T19:19:52Z,24,[],PT2M17S,45354,9570,1357
JQkjBMukRjc,Beware of HUNGRY WORMS in Roblox!,Tyler & Snowi,2025-10-23T22:14:00Z,20,"['roblox', 'funny', 'moments', 'roblox funny moments', 'funny moments', 'tyler', 'snowi', 'tyler and snowi', 'tyler & snowi', 'roblox funny games', 'roblox funny videos', 'roblox funny story', 'roblox story funny', 'roblox funny stories', 'roblox escape', 'roblox escape evil', 'roblox story', 'dog', 'roblox troll tower', 'troll tower roblox', 'troll tower', 'scary worm tower', 'roblox scary worm tower', 'scary worm tower roblox', 'scary worm', 'scary troll slap tower', 'roblox scary troll slap tower', 'scary troll slap tower roblox']",PT14M41S,110847,6325,150
cVnRTnG83bc,Rihanna - Where Have You Been (Sub. Español + Lyrics),sweetblue.,2025-10-22T22:00:06Z,10,"['recomendados', 'sped up', 'letra en español', 'lyrics', 'español', 'sub español', 'traducción', 'tiktok', 'edit', 'sweetblue', 'recomendación', 'para ti', 'búsquedas', 'letra', 'musica', 'musica independiente', 'trend']",PT4M4S,951860,2819,29
OxgW9wyf2z8,Kingdom Come: Deliverance II - Mysteria Ecclesiae DLC Announce Trailer,Warhorse Studios,2025-10-23T15:00:48Z,20,"['warhorse studios', 'kingdom come: deliverance', 'medieval', 'open-world', 'videogame', 'RPG', 'story-driven', 'realistic', 'royal edition', 'GOTY']",PT1M37S,165634,19179,2225
gzHaAa7cCeo,He crashed out..,Asmongold TV  ,2025-10-22T23:04:41Z,20,"['asmongold', 'asmongold reacts', 'asmongold wow', 'asmongold highlights', 'asmongold youtube', 'world of warcraft', 'asmongold funny', 'asmongold tv', 'asmongold channel', 'zackrawrr']",PT27M21S,874491,28759,3688
nbAixYVlmC0,Sin Bandera - Que Lloro,LatinHype,2025-10-22T11:36:14Z,10,"['Que Lloro Letra', 'Sin Bandera Que Lloro', 'Que Lloro Sin Bandera', 'Que lloro por ti', 'Que lloro sin ti', 'Ahora tal vez lo puedas entender', 'Que si me tocas se quema mi piel', 'Y no te vuelvas si no quieres ver', 'Que lloro por ti que lloro sin ti', 'Que ya lo entendí que no eres para mí', 'Y lloro', 'Que Lloro', 'que lloro sin bandera', 'sin bandera que lloro', 'que lloro', 'sin bandera', 'Sin Bandera', 'Que ta lo entendí', 'Que no eres para mí', 'que lloro letra', 'que lloro por ti', 'que lloro sin ti']",PT4M1S,580950,680,21
B0dc9PC3SsQ,DOC REACTS to Battlefield 6 Season 1 Trailer,DrDisRespect,2025-10-23T15:07:00Z,20,['dr disrespect battlefield 6'],PT7M14S,77384,4669,257
